Ref,Val,Package,PosX,PosY,Rot,Side
"Button1","SW_Push_Dual","SW_PUSH_6mm",239.450000,-127.600000,180.000000,top
"Button2","SW_Push_Dual","SW_PUSH_6mm",239.450000,-119.050000,180.000000,top
"Button3","SW_Push_Dual","SW_PUSH_6mm",239.450000,-110.500000,180.000000,top
"Button4","SW_Push_Dual","SW_PUSH_6mm",239.450000,-101.950000,180.000000,top
"C1","100nF","C_0201_0603Metric",157.338370,-94.338370,-45.000000,top
"C2","100nF","C_0201_0603Metric",156.156048,-95.601048,-45.000000,top
"C3","100nF","C_0201_0603Metric",155.000000,-109.600000,-45.000000,top
"C4","100nF","C_0201_0603Metric",156.200000,-110.800000,135.000000,top
"C5","100nF","C_0201_0603Metric",135.590000,-114.360000,135.000000,top
"C6","100nF","C_0201_0603Metric",134.990000,-114.960000,135.000000,top
"C7","100nF","C_0201_0603Metric",135.000000,-90.000000,45.000000,top
"C8","100nF","C_0201_0603Metric",136.190000,-113.760000,135.000000,top
"C9","1uF","C_0201_0603Metric",158.960000,-93.160000,45.000000,top
"C10","100nF","C_0201_0603Metric",127.056048,-97.643952,45.000000,top
"C11","100nF","C_0201_0603Metric",156.756048,-94.956048,-45.000000,top
"C12","100nF","C_0201_0603Metric",158.750000,-104.000000,45.000000,top
"C13","100nF","C_0201_0603Metric",126.456048,-97.043952,45.000000,top
"C14","1uF","C_0201_0603Metric",160.600000,-104.400000,45.000000,top
"C15","100nF","C_0201_0603Metric",154.200000,-94.200000,45.000000,top
"C16","100nF","C_0201_0603Metric",154.200000,-110.400000,-45.000000,top
"C17","100nF","C_0201_0603Metric",132.700000,-111.426274,-45.000000,top
"C18","100nF","C_0201_0603Metric",132.052548,-112.052548,-45.000000,top
"C19","1uF","C_0201_0603Metric",130.800000,-113.200000,135.000000,top
"C20","100nF","C_0201_0603Metric",203.700000,-82.800000,90.000000,top
"C21","100nF","C_0201_0603Metric",211.400000,-74.400000,180.000000,top
"C22","10uF","C_0201_0603Metric",218.100000,-81.900000,-90.000000,top
"C28","1uF","C_0201_0603Metric",133.800000,-88.800000,-135.000000,top
"D1","LED","LED_1206_3216Metric",185.210000,-155.039500,90.000000,top
"D2","LED","LED_1206_3216Metric",188.200000,-155.039500,90.000000,top
"D3","LED","LED_1206_3216Metric",191.250000,-155.039500,90.000000,top
"D4","LED","LED_1206_3216Metric",194.200000,-155.039500,90.000000,top
"D9","LED","LED_0201_0603Metric",194.065000,-91.060000,0.000000,top
"J1","Conn_02x07_Odd_Even","IDC-Header_2x07_P2.54mm_Vertical",197.180000,-55.952500,90.000000,top
"J2","DE15_Receptacle_HighDensity","DSUB-15_Female_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm",160.315000,-66.965000,180.000000,top
"J3","USB_B","USB_B_Lumberg_2411_02_Horizontal",255.340000,-77.610000,-90.000000,top
"J4","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",216.150000,-66.300000,-90.000000,top
"J5","Conn_01x12","PinHeader_1x12_P2.54mm_Vertical",140.575000,-51.700000,-90.000000,top
"J6","Conn_01x07_Socket","PinSocket_1x07_P2.54mm_Vertical",71.875000,-121.700000,180.000000,top
"J7","Conn_01x10_Pin","PinHeader_1x10_P2.54mm_Vertical",72.000000,-85.425000,180.000000,top
"J8","Conn_01x10_Socket","PinSocket_1x10_P2.54mm_Vertical",81.600000,-51.675000,90.000000,top
"J9","Conn_01x13_Socket","PinSocket_1x13_P2.54mm_Vertical",130.950000,-156.860000,-90.000000,top
"J10","Conn_02x05_Odd_Even","PinSocket_2x05_P2.54mm_Vertical",173.290000,-101.130000,0.000000,top
"J11","Conn_01x12_Pin","PinHeader_1x12_P2.54mm_Vertical",148.230000,-156.790000,90.000000,top
"J12","Conn_02x09_Odd_Even","PinSocket_2x09_P2.54mm_Vertical",140.000000,-136.840000,0.000000,top
"R1","470R","R_1206_3216Metric",185.200000,-148.504500,-90.000000,top
"R2","470R","R_1206_3216Metric",188.200000,-148.504500,-90.000000,top
"R3","470R","R_1206_3216Metric",191.250000,-148.504500,-90.000000,top
"R4","470R","R_1206_3216Metric",194.200000,-148.504500,-90.000000,top
"R5","4.7k","R_0201_0603Metric",105.360000,-129.450000,-90.000000,top
"R6","4.7k","R_0201_0603Metric",85.360000,-129.500000,-90.000000,top
"R7","4.7k","R_0201_0603Metric",95.360000,-129.450000,-90.000000,top
"R8","10k","R_0201_0603Metric",81.760000,-131.650000,90.000000,top
